,belief,listv,alive,true_v,time,visited
20,"[0.5384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,390,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22]]"
21,"[0.5384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,419,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25]]"
22,"[0.6923076923076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,439,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26]]"
23,"[0.6923076923076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,448,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25]]"
24,"[0.6923076923076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,458,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31, 28], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25, 28]]"
25,"[0.6923076923076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,474,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31, 28, 25], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25, 28, 31]]"
26,"[0.7692307692307692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,488,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31, 28, 25, 22], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25, 28, 31, 32]]"
27,"[0.7692307692307692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,514,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31, 28, 25, 22, 25], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25, 28, 31, 32, 31]]"
28,"[0.7692307692307692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,523,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31, 28, 25, 22, 25, 22], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25, 28, 31, 32, 31, 34]]"
29,"[0.7692307692307692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,550,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 31, 28, 25, 22, 25, 22, 25], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19, 22, 25, 26, 25, 28, 31, 32, 31, 34, 37]]"
